"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Josh Allen","BUF","564.9","368.1","4,062.4","27.7","14.0","108.7","558.7","8.9","4.0","360.5"
"Jalen Hurts","PHI","520.2","339.4","3,810.6","24.4","12.1","144.1","619.8","11.2","3.8","359.9"
"Lamar Jackson","BAL","463.7","303.5","3,567.9","25.0","10.6","146.0","836.0","5.4","4.4","339.2"
"Patrick Mahomes II","KC","588.1","394.7","4,391.7","32.7","11.2","72.0","376.5","1.8","3.1","337.7"
"Anthony Richardson Sr.","IND","512.2","325.9","3,506.3","20.0","11.4","128.1","648.3","7.9","5.0","311.0"
"C.J. Stroud","HOU","557.0","362.6","4,336.0","29.5","10.1","43.8","183.8","2.4","3.6","306.3"
"Dak Prescott","DAL","572.5","385.0","4,181.0","30.5","12.0","51.9","221.7","2.0","2.8","306.1"
"Joe Burrow","CIN","580.3","389.0","4,239.3","30.1","11.5","56.7","191.2","2.1","3.1","304.4"
"Kyler Murray","ARI","530.8","353.8","3,711.3","22.0","12.1","96.0","530.4","5.1","2.6","303.1"
"Jordan Love","GB","545.5","354.8","3,987.6","29.4","11.5","45.7","200.5","2.4","3.0","294.0"
"Brock Purdy","SF","498.1","336.1","4,075.2","29.6","10.8","44.1","162.0","1.9","2.6","293.0"
"Jayden Daniels","WAS","543.6","338.6","3,583.0","20.1","13.8","114.6","594.4","5.0","4.4","290.5"
"Caleb Williams","CHI","532.7","346.6","3,783.9","25.3","13.4","78.1","363.5","3.3","4.3","286.8"
"Trevor Lawrence","JAC","566.4","373.5","3,985.7","24.4","12.5","66.4","306.4","3.5","4.8","286.2"
"Justin Herbert","LAC","544.8","356.2","3,850.6","24.5","9.9","64.8","263.4","2.7","3.0","278.4"
"Deshaun Watson","CLE","544.6","334.3","3,747.3","23.0","13.3","77.1","385.2","3.2","3.8","278.3"
"Jared Goff","DET","568.9","384.0","4,231.8","28.0","10.6","24.0","54.0","1.1","3.1","276.7"
"Tua Tagovailoa","MIA","545.1","371.0","4,268.9","27.3","12.5","31.8","88.8","0.6","3.8","272.4"
"Kirk Cousins","ATL","537.3","351.9","4,038.8","27.1","10.5","34.7","101.0","1.4","4.5","269.1"
"Baker Mayfield","TB","562.7","355.5","3,947.7","25.8","11.9","51.8","171.1","1.4","3.3","268.2"
"Matthew Stafford","LAR","553.0","355.4","4,127.5","26.9","12.5","24.0","67.8","0.6","2.2","266.1"
