Player,Team,actual_Rank,actual_ATT(Rushing),actual_YDS(Rushing),actual_Y/A(Rushing),actual_LG(Rushing),actual_20+(Rushing),actual_TD(Rushing),actual_REC(Recieving),actual_TGT(Recieving),actual_YDS(Recieving),actual_Y/R(Recieving),actual_TD(Recieving),actual_FL,actual_G,actual_FPTS,actual_FPTS/G,actual_ROST,projections_ATT(Rushing),projections_YDS(Rushing),projections_TD(Rushing),projections_REC(Recieving),projections_YDS(Recieving),projections_TD(Recieving),projections_FL,projections_FPTS,ADP
Saquon Barkley,PHI,1.0,345.0,2005,5.8,72.0,17.0,13.0,33.0,43.0,278.0,8.4,2.0,1.0,16.0,322.3,20.1,99.1,268.8,1127.6,9.3,48.0,347.5,3.0,1.7,217.8,10.5
Derrick Henry,BAL,2.0,325.0,1921,5.9,87.0,19.0,16.0,19.0,22.0,193.0,10.2,2.0,1.0,17.0,317.4,18.7,98.9,269.1,1203.1,11.2,24.9,199.2,0.9,1.0,210.9,19.0
Jahmyr Gibbs,DET,3.0,250.0,1412,5.6,70.0,13.0,16.0,52.0,63.0,517.0,9.9,4.0,1.0,17.0,310.9,18.3,98.9,202.5,941.9,8.4,54.6,388.8,2.2,1.4,193.9,11.5
Bijan Robinson,ATL,4.0,304.0,1456,4.8,37.0,5.0,14.0,61.0,72.0,431.0,7.1,1.0,0.0,17.0,280.7,16.5,98.0,243.8,1120.9,7.4,65.8,549.8,4.3,2.2,232.8,5.5
Josh Jacobs,GB,5.0,301.0,1329,4.4,38.0,7.0,15.0,36.0,43.0,342.0,9.5,1.0,3.0,17.0,257.1,15.1,98.4,258.2,1065.4,8.7,39.9,303.4,1.2,1.1,193.6,20.5
Kyren Williams,LAR,6.0,316.0,1299,4.1,30.0,2.0,14.0,34.0,40.0,182.0,5.4,2.0,3.0,16.0,238.1,14.9,98.0,245.4,1115.5,10.0,34.4,251.2,1.9,1.7,204.6,18.0
James Cook,BUF,7.0,207.0,1009,4.9,65.0,6.0,16.0,32.0,38.0,258.0,8.1,2.0,0.0,16.0,234.7,14.7,91.8,231.7,1033.2,5.1,45.0,382.4,2.8,1.4,186.3,33.5
Jonathan Taylor,IND,8.0,303.0,1431,4.7,70.0,11.0,11.0,18.0,31.0,136.0,7.6,1.0,1.0,14.0,226.7,16.2,97.1,283.6,1270.7,10.1,37.3,279.2,1.6,1.4,222.4,10.5
De'Von Achane,MIA,9.0,203.0,907,4.5,61.0,5.0,6.0,78.0,87.0,592.0,7.6,6.0,0.0,17.0,221.9,13.1,97.7,175.0,907.1,7.2,45.4,348.3,2.9,0.9,184.4,20.5
James Conner,ARI,10.0,236.0,1094,4.6,53.0,6.0,8.0,47.0,55.0,414.0,8.8,1.0,1.0,16.0,206.8,12.9,75.2,201.6,882.9,6.7,32.6,222.2,1.4,0.9,157.2,58.0
