"Rank","Player","REC(Recieving)","TGT(Recieving)","YDS(Recieving)","Y/R(Recieving)","LG(Recieving)","20+(Recieving)","TD(Recieving)","ATT(Rushing)","YDS(Rushing)","TD(Rushing)","FL","G","FPTS","FPTS/G","ROST"
"1","George Kittle (SF)","78","94","1,106","14.2","43","21","8","0","0","0","0","15","158.6","10.6","95.3%"
"2","Brock Bowers (LV)","112","153","1,194","10.7","57","15","5","5","13","0","0","17","150.7","8.9","98.3%"
"3","Trey McBride (ARI)","111","147","1,146","10.3","37","10","2","1","2","1","0","16","138.8","8.7","95.3%"
"4","Jonnu Smith (MIA)","88","111","884","10.0","57","4","8","2","-1","0","1","17","134.3","7.9","83.8%"
"5","Mark Andrews (BAL)","55","69","673","12.2","67","6","11","4","5","0","0","17","133.8","7.9","90.4%"
"6","Sam LaPorta (DET)","60","83","726","12.1","52","11","7","0","0","0","0","16","114.6","7.2","94.0%"
"7","Tucker Kraft (GB)","50","70","707","14.1","67","11","7","3","6","0","1","17","113.3","6.7","64.8%"
"8","Zach Ertz (WAS)","66","91","654","9.9","37","7","7","0","0","0","0","17","111.4","6.6","37.4%"
"9","Pat Freiermuth (PIT)","65","78","653","10.0","30","7","7","0","0","0","2","17","103.3","6.1","36.9%"
"10","Travis Kelce (KC)","97","133","823","8.5","38","9","3","1","1","0","1","16","98.4","6.2","82.6%"
"11","David Njoku (CLE)","64","97","505","7.9","29","4","5","0","0","0","0","11","84.5","7.7","79.2%"
"12","Kyle Pitts (ATL)","47","74","602","12.8","52","7","4","0","0","0","0","17","84.2","5.0","46.8%"
"13","Isaiah Likely (BAL)","42","58","477","11.4","49","4","6","0","0","0","1","16","81.7","5.1","33.6%"
"14","Cade Otton (TB)","59","87","600","10.2","44","7","4","1","-4","0","1","14","81.6","5.8","35.4%"
"15","Taysom Hill (NO)","23","31","187","8.1","34","2","0","39","278","6","1","8","80.3","10.0","24.5%"
"16","Hunter Henry (NE)","66","97","674","10.2","35","4","2","0","0","0","0","16","79.4","5.0","49.8%"
"17","Mike Gesicki (CIN)","65","83","665","10.2","47","5","2","0","0","0","1","17","76.5","4.5","52.4%"
"18","Cole Kmet (CHI)","47","55","474","10.1","31","7","4","0","0","0","0","17","73.4","4.3","29.5%"
"19","Noah Gray (KC)","40","49","437","10.9","35","6","5","1","-4","0","0","17","73.3","4.3","34.7%"
"20","Juwan Johnson (NO)","50","66","548","11.0","30","8","3","0","0","0","0","17","72.8","4.3","22.5%"
"21","Foster Moreau (NO)","32","43","413","12.9","41","7","5","0","0","0","0","17","71.3","4.2","1.8%"
"22","Tyler Conklin (LAC)","51","72","449","8.8","27","7","4","1","0","0","0","16","70.9","4.4","30.6%"
"23","Dalton Schultz (HOU)","53","85","532","10.0","32","5","2","0","0","0","0","17","65.2","3.8","42.1%"
"24","Austin Hooper (NE)","45","59","476","10.6","38","5","3","0","0","0","1","17","63.6","3.7","4.4%"
"25","Dallas Goedert (PHI)","42","52","496","11.8","61","7","2","0","0","0","0","10","61.6","6.2","63.2%"
"26","Chig Okonkwo (TEN)","52","70","479","9.2","70","4","2","1","17","0","1","17","61.6","3.6","37.5%"
"27","Will Dissly (LAC)","50","64","481","9.6","29","5","2","0","0","0","0","15","60.1","4.0","15.0%"
"28","Dalton Kincaid (BUF)","44","75","448","10.2","29","5","2","0","0","0","0","13","56.8","4.4","68.5%"
"29","Noah Fant (SEA)","48","64","500","10.4","32","3","1","0","0","0","0","14","56.0","4.0","22.9%"
"30","Brenton Strange (JAC)","40","53","411","10.3","30","7","2","0","0","0","1","17","51.1","3.0","33.1%"
"31","Jordan Akins (FA)","40","58","390","9.8","21","3","2","0","0","0","0","17","51.0","3.0","1.4%"
"32","AJ Barner (SEA)","30","38","245","8.2","20","1","4","0","0","0","0","17","48.5","2.9","21.2%"
"33","T.J. Hockenson (MIN)","41","62","455","11.1","34","5","0","0","0","0","0","10","45.5","4.6","86.8%"
"34","Jake Ferguson (DAL)","59","86","494","8.4","27","6","0","0","0","0","2","14","45.4","3.2","52.1%"
"35","Josh Oliver (MIN)","22","28","258","11.7","28","5","3","0","0","0","0","15","43.8","2.9","2.7%"
"36","Evan Engram (DEN)","47","64","365","7.8","24","2","1","0","0","0","1","9","42.5","4.7","67.2%"
"37","Ja'Tavion Sanders (CAR)","33","43","342","10.4","46","6","1","0","0","0","0","16","40.2","2.5","38.9%"
"38","Theo Johnson (NYG)","29","43","331","11.4","35","4","1","0","0","0","0","12","39.1","3.3","26.4%"
"39","Dawson Knox (BUF)","22","33","311","14.1","39","7","1","0","0","0","0","16","37.1","2.3","12.9%"
"40","Grant Calcaterra (PHI)","24","30","298","12.4","34","6","1","0","0","0","0","17","35.8","2.1","4.6%"
"41","Colby Parkinson (LAR)","30","49","294","9.8","23","2","1","0","0","0","0","17","35.4","2.1","10.2%"
"42","Tommy Tremble (CAR)","23","32","234","10.2","38","2","2","0","0","0","1","12","33.4","2.8","4.2%"
