"Player","Team","REC(Recieving)","YDS(Recieving)","TD(Recieving)","ATT(Rushing)","YDS(Rushing)","TD(Rushing)","FL","FPTS"
"CeeDee Lamb","DAL","116.0","1,488.4","9.7","9.8","68.4","0.8","1.1","216.3"
"Tyreek Hill","MIA","110.0","1,544.6","9.9","5.2","30.5","0.1","1.0","215.8"
"Ja'Marr Chase","CIN","106.5","1,354.7","8.9","3.0","12.6","0.1","0.7","189.1"
"Justin Jefferson","MIN","105.5","1,447.5","7.4","1.2","3.8","0.0","1.0","187.9"
"Amon-Ra St. Brown","DET","111.0","1,351.1","8.2","4.5","31.3","0.1","0.9","186.1"
"A.J. Brown","PHI","92.9","1,316.7","8.2","0.0","1.4","0.0","1.3","178.6"
"Puka Nacua","LAR","94.7","1,299.0","7.2","8.9","54.7","0.2","0.7","178.1"
"Garrett Wilson","NYJ","95.2","1,190.5","8.2","3.9","19.2","0.1","1.3","167.9"
"Deebo Samuel Sr.","WAS","66.9","924.7","5.9","35.8","208.4","3.1","1.0","165.0"
"Mike Evans","TB","75.6","1,121.4","8.4","0.0","1.2","0.0","0.5","161.7"
"Nico Collins","HOU","78.5","1,152.2","7.4","1.4","8.6","0.0","0.5","159.7"
"Chris Olave","NO","89.9","1,201.3","6.5","0.0","1.0","0.0","0.6","158.1"
"Marvin Harrison Jr.","ARI","88.4","1,175.1","6.8","0.5","3.6","0.0","1.5","155.6"
"Brandon Aiyuk","SF","75.2","1,130.7","7.2","0.8","4.0","0.0","0.9","155.2"
"Drake London","ATL","87.9","1,139.9","7.0","0.0","2.2","0.0","0.9","154.6"
"DK Metcalf","PIT","73.6","1,065.8","8.1","0.0","1.2","0.0","0.5","154.2"
"Davante Adams","LAR","93.0","1,128.8","6.5","0.0","1.0","0.0","0.5","151.0"
"Cooper Kupp","SEA","85.9","1,060.8","7.3","2.9","17.4","0.1","0.5","150.7"
"DeVonta Smith","PHI","84.8","1,081.1","7.1","0.0","1.2","0.0","0.9","149.0"
"Jaylen Waddle","MIA","81.8","1,123.7","5.7","3.6","21.1","0.1","0.5","148.3"
"DJ Moore","CHI","76.1","1,047.0","7.0","2.3","15.1","0.2","0.9","147.7"
"Tee Higgins","CIN","71.6","1,024.4","7.5","0.0","1.0","0.0","0.5","146.5"
"George Pickens","PIT","70.7","1,089.2","6.0","2.6","16.9","0.0","0.9","145.2"
"Tank Dell","HOU","70.0","954.6","7.0","11.1","61.6","0.2","0.6","143.2"
"Stefon Diggs","NE","85.1","1,032.2","6.6","1.9","9.1","0.1","1.0","142.1"
"Malik Nabers","NYG","81.2","1,076.7","5.9","0.5","5.0","0.0","1.2","141.0"
"Calvin Ridley","TEN","71.2","975.0","7.0","2.9","14.8","0.0","0.5","139.9"
"Zay Flowers","BAL","79.4","964.6","6.2","7.4","46.3","0.6","1.0","139.7"
"Rashee Rice","KC","80.7","959.8","7.1","1.5","7.0","0.0","1.0","137.6"
"Michael Pittman Jr.","IND","96.7","1,062.2","5.1","0.3","3.0","0.0","1.0","134.8"
"Chris Godwin","TB","83.2","989.5","5.3","2.7","20.9","0.3","0.5","133.0"
"Christian Kirk","HOU","80.9","1,008.2","5.4","1.0","6.4","0.0","1.3","131.5"
"Jayden Reed","GB","64.1","795.9","5.9","9.0","73.7","1.2","0.6","128.0"
"Terry McLaurin","WAS","76.4","1,009.9","4.6","0.3","2.2","0.0","0.5","127.9"
"Christian Watson","GB","53.7","779.6","7.0","4.2","24.6","0.3","0.5","122.8"
"Xavier Worthy","KC","57.0","828.7","6.0","3.7","23.2","0.1","0.8","119.8"
"Courtland Sutton","DEN","65.8","850.1","6.1","0.0","1.2","0.0","1.3","119.1"
"DeAndre Hopkins","BAL","64.7","851.3","5.7","0.3","2.8","0.0","0.5","118.8"
"Jordan Addison","MIN","64.9","833.8","5.9","0.3","4.0","0.0","0.5","117.8"
"Rome Odunze","CHI","62.5","852.2","5.4","1.0","6.4","0.0","1.1","116.1"
