pandascore_id,competitions,high_school,depth_chart_position,player_id,birth_city,birth_state,years_exp,team_changed_at,birth_country,metadata,first_name,fantasy_positions,injury_status,active,fantasy_data_id,swish_id,injury_notes,injury_start_date,oddsjam_id,injury_body_part,hashtag,news_updated,status,search_last_name,weight,birth_date,depth_chart_order,search_rank,number,search_first_name,opta_id,rotoworld_id,age,practice_description,practice_participation,last_name,yahoo_id,team_abbr,espn_id,search_full_name,rotowire_id,college,sportradar_id,gsis_id,sport,position,full_name,stats_id,team,height
,[],Douglas County,,6462,,,3.0,,,{'channel_id': '1116853254748110848'},Ellis,['TE'],,True,21427.0,,,,,,#ellisrichardson-NFL-FA-45,,Active,richardson,245,1995-02-12,,9999999.0,45.0,ellis,,,26.0,,,Richardson,32262.0,,3926590.0,ellisrichardson,14134.0,Georgia Southern,efd6f3c3-b752-4bc2-a4f2-b776c15c3ec0, 00-0035057,nfl,TE,Ellis Richardson,887183.0,,75
,[],Davis (CA),,11255,,,0.0,,,"{'channel_id': '1116852669114220544', 'rookie_year': ''}",Nick,['OL'],,True,,1052592.0,,,,,#nickamoah-NFL-FA-0,,Active,amoah,306,,,9999999.0,0.0,nick,,,,,,Amoah,,,,nickamoah,,UC Davis,55510c00-ead2-11ed-999e-03b49558b5db,,nfl,OL,Nick Amoah,,,74
,[],Iona Prep (NY),,8842,,,1.0,,,"{'channel_id': '1116853537213513728', 'years_exp_shift': '1'}",Malkelm,['DB'],,True,,1131137.0,,,,,#malkelmmorrison-NFL-FA-0,1653351613345.0,Injured Reserve,morrison,186,,,9999999.0,0.0,malkelm,,,,,,Morrison,,,,malkelmmorrison,16558.0,Army,3c804b10-d3a8-11ec-96a0-c3471a31202c,,nfl,CB,Malkelm Morrison,,,70
,[],Hough (NC),,7926,,,1.0,,,{'channel_id': '1116853436709601280'},Carl,['TE'],,True,,866047.0,,,,,#carltucker-NFL-FA-0,1631568053348.0,Active,tucker,250,1997-02-06,,426.0,0.0,carl,,,24.0,,,Tucker,,,,carltucker,15412.0,Alabama,fde9c52b-0e2f-46e7-9b0e-9ada612ecec3,,nfl,TE,Carl Tucker,,,74
,[],Theodore (AL),,1875,,,11.0,,,"{'channel_id': '1113708745461886977', 'rookie_year': '2014'}",C.J.,['LB'],Questionable,True,16093.0,557173.0,,,97CDFFA7FA4D,Neck,#cjmosley-NFL-FA-57,1741823416400.0,Active,mosley,231,1992-06-19,,216.0,57.0,cj,,9631.0,32.0,,,Mosley,27545.0,,16720.0,cjmosley,9380.0,Alabama,bf5f7564-349a-439a-a8a9-4ddb10448a8d,00-0031296,nfl,LB,C.J. Mosley,,,74
,[],East English Village Prep (MI),LCB,8478,,,3.0,,,"{'channel_id': '1113708876978483201', 'rookie_year': '2022'}",Samuel,['DB'],,True,,1085180.0,,,0823DA35726D,,#samuelwomack-NFL-IND-33,1737226242174.0,Active,womack,189,1999-07-07,2.0,9999999.0,33.0,samuel,,,25.0,,,Womack,,,,samuelwomack,16274.0,Toledo,75c1ed8d-4f05-43c1-b398-f212984b6b8b,,nfl,CB,Samuel Womack,,IND,71
,[],Beaufort (SC),,995,,,11.0,,,,Ron,['DB'],,False,13476.0,,,,,,#ronparker-NFL-FA-0,1578330037366.0,Injured Reserve,parker,206,1987-08-17,,9999999.0,0.0,ron,,6811.0,34.0,,,Parker,25090.0,,14297.0,ronparker,7817.0,Newberry,e9a0297a-0b34-4c55-af1f-ca113d672195,00-0028445,nfl,FS,Ron Parker,512802.0,,72
,[],Groveport Madison (OH),,1408,,,9.0,,,{'channel_id': '1116852736248250368'},Le'Veon,['RB'],,True,14967.0,543654.0,,,,,#leveonbell-NFL-TB-6,1707165960874.0,Active,bell,225,1992-02-18,,235.0,6.0,leveon,,8390.0,29.0,,,Bell,26671.0,,15825.0,leveonbell,8617.0,Michigan State,7735c02a-ee75-447c-86e6-6c2168500050,00-0030496,nfl,RB,Le'Veon Bell,543654.0,TB,73
,[],St. Francis (MI),,8074,,,1.0,,,{'channel_id': '1116853462399713280'},Matt,['TE'],,True,,,,,,,#mattseybert-NFL-FA-41,1629836727949.0,Active,seybert,252,1997-05-02,,,41.0,matt,,,24.0,,,Seybert,,,,mattseybert,15785.0,Michigan State,22ec09a7-6001-43b7-adf9-cf0df941ad0e,,nfl,TE,Matt Seybert,,,76
,[],James R. Rickards (FL),,156,,,13.0,,,,William,['DB'],,False,4122.0,,,,,,#williamgay-NFL-FA-25,1534088707204.0,Inactive,gay,187,1985-01-01,,9999999.0,25.0,william,,4319.0,35.0,,,Gay,8424.0,,10613.0,williamgay,6211.0,Louisville,a2907a39-139b-483f-8369-e278c26a6951,00-0025557,nfl,CB,William Gay,229499.0,,"5'10"""
,[],McClymonds (CA),,7311,,,4.0,,,"{'channel_id': '1116853366710861824', 'rookie_year': '2020'}",Javin,"['DB', 'LB']",,True,22303.0,881687.0,,,8ADDCA292DD5,,#javinwhite-NFL-FA-60,1721609703351.0,Active,white,211,1997-02-21,,9999999.0,60.0,javin,,,27.0,,,White,33318.0,,3921709.0,javinwhite,14902.0,UNLV,3f95afdc-2140-424b-8250-7d4e273c2efc,,nfl,LB,Javin White,,,74
,[],Allendale-Fairfax (SC),,2091,,,8.0,,,{'channel_id': '1116852779298586624'},Bashaud,['DB'],,True,16407.0,560235.0,,,,,#bashaudbreeland-NFL-ARI-24,1641345029845.0,Active,breeland,197,1992-01-30,,9999999.0,24.0,bashaud,,9585.0,30.0,,,Breeland,27630.0,,16890.0,bashaudbreeland,9648.0,Clemson,ba905b34-8412-4553-9055-3460368cc608, 00-0031052,nfl,CB,Bashaud Breeland,560235.0,ARI,71
