name,team,position,rank,ppr
Ja'Marr Chase,CIN,WR1,1,316
Bijan Robinson,ATL,RB1,2,296
Saquon Barkley,PHI,RB2,3,298
Derrick Henry,BAL,RB8,4,269
CeeDee Lamb,DAL,WR2,5,287
Puka Nacua,LAR,WR3,6,278
Justin Jefferson,MIN,WR4,7,298
Christian McCaffrey,SF,RB3,8,284
Nico Collins,HOU,WR6,9,274
Jahmyr Gibbs,DET,RB4,10,287
Brian Thomas Jr.,JAC,WR7,11,258
Ashton Jeanty,LVR,RB5,12,253
Jonathan Taylor,IND,RB7,13,250
Malik Nabers,NYG,WR5,14,270
De'Von Achane,MIA,RB6,15,267
A.J. Brown,PHI,WR9,16,258
Drake London,ATL,WR10,17,256
Tee Higgins,CIN,WR11,18,256
Joe Mixon,HOU,RB10,19,234
Josh Jacobs,GB,RB12,20,251
Kyren Williams,LAR,RB14,21,238
Amon-Ra St. Brown,DET,WR8,22,263
Tyreek Hill,MIA,WR12,23,235
Breece Hall,NYJ,RB11,24,233
Brock Bowers,LVR,TE1,25,242
Bucky Irving,TB,RB13,26,256
Lamar Jackson,BAL,QB1,27,361
Jayden Daniels,WAS,QB2,28,362
Chase Brown,CIN,RB15,29,216
Josh Allen,BUF,QB3,30,356
Mike Evans,TB,WR15,31,224
Jalen Hurts,PHI,QB4,32,361
James Cook,BUF,RB16,33,231
Alvin Kamara,NO,RB9,34,243
Rashee Rice,KC,WR13,35,220
Trey McBride,ARI,TE2,36,247
Ladd McConkey,LAC,WR14,37,245
Kenneth Walker III,SEA,RB17,38,221
Davante Adams,LAR,WR16,39,243
James Conner,ARI,RB18,40,225
Chuba Hubbard,CAR,RB19,41,214
Xavier Worthy,KC,WR18,42,215
George Kittle,SF,TE3,43,215
D.J. Moore,CHI,WR19,44,222
Terry McLaurin,WAS,WR21,45,224
Marvin Harrison Jr.,ARI,WR22,46,216
D.K. Metcalf,PIT,WR25,47,204
Garrett Wilson,NYJ,WR17,48,213
Jaxon Smith-Njigba,SEA,WR20,49,217
Chris Olave,NO,WR23,50,204
DeVonta Smith,PHI,WR24,51,211
Zay Flowers,BAL,WR26,52,202
Courtland Sutton,DEN,WR27,53,211
Tetairoa McMillan,CAR,WR28,54,187
Joe Burrow,CIN,QB5,55,345
Travis Hunter,JAC,WR30,56,175
Jaylen Waddle,MIA,WR31,57,191
David Montgomery,DET,RB20,58,204
Aaron Jones,MIN,RB21,59,205
Sam LaPorta,DET,TE4,60,190
George Pickens,DAL,WR32,61,190
Quinshon Judkins,CLE,RB24,62,175
Omarion Hampton,LAC,RB25,63,205
Jameson Williams,DET,WR34,64,184
Mark Andrews,BAL,TE9,65,164
Chris Godwin,TB,WR29,66,194
Tony Pollard,TEN,RB22,67,193
Isiah Pacheco,KC,RB23,68,182
Travis Kelce,KC,TE5,69,193
D'Andre Swift,CHI,RB26,70,198
Calvin Ridley,TEN,WR33,71,196
TreVeyon Henderson,NE,RB27,72,167
Deebo Samuel,WAS,WR36,73,186
Jonnu Smith,MIA,TE6,74,179
Jakobi Meyers,LVR,WR35,75,194
RJ Harvey,DEN,RB28,76,186
Jauan Jennings,SF,WR38,77,192
T.J. Hockenson,MIN,TE7,78,175
Jordan Addison,MIN,WR39,79,190
Rome Odunze,CHI,WR40,80,178
David Njoku,CLE,TE8,81,173
Jayden Reed,GB,WR41,82,169
Brian Robinson Jr.,WAS,RB30,83,169
Kaleb Johnson,PIT,RB32,84,151
Khalil Shakir,BUF,WR37,85,188
Jerry Jeudy,CLE,WR42,86,201
Patrick Mahomes,KC,QB6,87,318
Dalton Kincaid,BUF,TE10,88,151
Rashid Shaheed,NO,WR45,89,175
Darnell Mooney,ATL,WR46,90,171
Ricky Pearsall,SF,WR47,91,167
Tucker Kraft,GB,TE12,92,151
Dallas Goedert,PHI,TE14,93,148
Keon Coleman,BUF,WR51,94,167
Tyler Warren,IND,TE15,95,125
Tank Bigsby,JAC,RB38,96,117
Jaylen Warren,PIT,RB29,97,185
Travis Etienne,JAC,RB31,98,160
Jake Ferguson,DAL,TE11,99,159
Stefon Diggs,NE,WR43,100,163
Josh Downs,IND,WR44,101,162
Michael Pittman Jr.,IND,WR48,102,165
Evan Engram,DEN,TE13,103,152
Cooper Kupp,SEA,WR49,104,176
Tyrone Tracy Jr.,NYG,RB33,105,164
Najee Harris,LAC,RB35,106,132
Cameron Skattebo,NYG,RB34,107,124
Marquise Brown,KC,WR50,108,157
Brandon Aiyuk,SF,WR52,109,145
Pat Freiermuth,PIT,TE16,110,142
J.K. Dobbins,UNS,RB39,111,120
Younghoe Koo,ATL,K1,112,76
Zach Ertz,WAS,TE17,113,135
Christian Kirk,HOU,WR53,114,155
Colston Loveland,CHI,TE18,115,125
Isaiah Likely,BAL,TE20,116,125
Mike Gesicki,CIN,TE21,117,129
Kyle Pitts,ATL,TE23,118,125
Hunter Henry,NE,TE24,119,135
Kyler Murray,ARI,QB7,120,301
Bo Nix,DEN,QB8,121,303
Baker Mayfield,TB,QB9,122,308
Justin Herbert,LAC,QB10,123,291
Caleb Williams,CHI,QB11,124,293
Tyjae Spears,TEN,RB36,125,134
Austin Ekeler,WAS,RB37,126,144
Dak Prescott,DAL,QB12,127,278
Jake Bates,DET,K2,128,81
Keenan Allen,UNS,WR54,129,142
Javonte Williams,DAL,RB40,130,166
Chigoziem Okonkwo,TEN,TE19,131,130
Jayden Higgins,HOU,WR55,132,148
Cade Otton,TB,TE22,133,133
Amari Cooper,UNS,WR56,134,131
Justin Tucker,BAL,K3,135,63
Romeo Doubs,GB,WR57,136,135
Dalton Schultz,HOU,TE25,137,124
Jordan Mason,MIN,RB43,138,114
Matthew Golden,GB,WR59,139,172
Luther Burden III,CHI,WR58,140,119
Evan McPherson,CIN,K4,141,66
Joshua Palmer,BUF,WR60,142,124
Tyler Bass,BUF,K5,143,67
Matt Gay,WAS,K6,144,66
Tyler Loop,BAL,K7,145,83
Brenton Strange,JAC,TE26,146,120
Harrison Butker,KC,K8,147,74
Emeka Egbuka,TB,WR62,148,127
Juwan Johnson,NO,TE27,149,115
Jack Bech,LVR,WR63,150,141
Quentin Johnston,LAC,WR65,151,133
Rashod Bateman,BAL,WR66,152,144
Mason Taylor,NYJ,TE28,153,97
Tre Harris,LAC,WR67,154,133
Justin Fields,NYJ,QB13,155,295
Trevor Lawrence,JAC,QB14,156,285
Drake Maye,NE,QB15,157,281
Jared Goff,DET,QB16,158,281
Brock Purdy,SF,QB17,159,296
Rachaad White,TB,RB41,160,124
Zach Charbonnet,SEA,RB42,161,128
Jordan Love,GB,QB18,162,272
C.J. Stroud,HOU,QB19,163,277
Tua Tagovailoa,MIA,QB20,164,269
J.J. McCarthy,MIN,QB21,165,283
Rhamondre Stevenson,NE,RB44,166,147
Jaydon Blue,DAL,RB45,167,75
Diontae Johnson,CLE,WR61,168,122
Jake Elliott,PHI,K9,169,65
Chase McLaughlin,TB,K10,170,63
Ray Davis,BUF,RB46,171,90
Cam Little,JAC,K11,172,59
Bhayshul Tuten,JAC,RB48,173,76
Chad Ryland,ARI,K12,174,65
Tyler Allgeier,ATL,RB50,175,99
Kyle Williams,NE,WR68,176,93
Jason Sanders,MIA,K13,177,59
Cameron Dicker,LAC,K14,178,69
Trey Benson,ARI,RB51,179,95
Xavier Legette,CAR,WR69,180,127
Cedric Tillman,CLE,WR70,181,135
Jake Moody,SF,K15,182,59
Jalen Coker,CAR,WR72,183,111
Marvin Mims Jr.,DEN,WR71,184,141
Isaac Guerendo,SF,RB52,185,99
Cole Kmet,CHI,TE29,186,97
Adam Thielen,CAR,WR73,187,156
Jaylen Wright,MIA,RB54,188,81
Michael Wilson,ARI,WR74,189,131
Theo Johnson,NYG,TE30,190,102
Jalen McMillan,TB,WR75,191,111
Darius Slayton,NYG,WR76,192,108
Alec Pierce,IND,WR77,193,104
Mike Williams,LAC,WR79,194,102
Elijah Arroyo,SEA,TE31,195,40
Ja'Tavion Sanders,CAR,TE32,196,90
Terrance Ferguson,LAR,TE35,197,47
Bryce Young,CAR,QB22,198,262
Wan'Dale Robinson,NYG,WR64,199,151
Roschon Johnson,CHI,RB47,200,102
