name,team,position,std,std_rank,half_ppr,half_ppr_rank,ppr,ppr_rank,player_id
Aaron Jones,MIN,RB,162.0,23,183.0,21,205.0,21,4199
Alvin Kamara,NO,RB,177.0,19,210.0,13,243.0,9,4035
Ashton Jeanty,LVR,RB,206.0,7,229.0,7,253.0,5,12527
Austin Ekeler,WAS,RB,101.0,41,122.0,39,144.0,37,4663
Bhayshul Tuten,JAC,RB,59.0,45,67.0,46,76.0,48,12490
Bijan Robinson,ATL,RB,242.0,3,269.0,2,296.0,1,9509
Breece Hall,NYJ,RB,188.0,12,210.0,12,233.0,11,8155
Bucky Irving,TB,RB,208.0,14,232.0,14,256.0,13,11584
Chase Brown,CIN,RB,169.0,15,192.0,15,216.0,15,9224
Christian McCaffrey,SF,RB,221.0,5,253.0,3,284.0,3,4034
Chuba Hubbard,CAR,RB,175.0,17,194.0,19,214.0,19,7594
D'Andre Swift,CHI,RB,160.0,30,179.0,27,198.0,26,6790
David Montgomery,DET,RB,173.0,20,188.0,20,204.0,20,5892
De'Von Achane,MIA,RB,201.0,11,234.0,8,267.0,6,9226
Derrick Henry,BAL,RB,251.0,2,260.0,4,269.0,8,3198
Isaac Guerendo,SF,RB,85.0,47,92.0,50,99.0,52,11651
Isiah Pacheco,KC,RB,147.0,24,165.0,24,182.0,23,8205
J.K. Dobbins,UNS,RB,101.0,36,111.0,37,120.0,39,6806
Jahmyr Gibbs,DET,RB,237.0,6,262.0,5,287.0,4,9221
James Conner,ARI,RB,185.0,18,205.0,18,225.0,18,4137
James Cook,BUF,RB,196.0,13,214.0,16,231.0,16,8138
Javonte Williams,DAL,RB,127.0,40,147.0,40,166.0,40,7588
Jaydon Blue,DAL,RB,61.0,50,68.0,45,75.0,45,12457
Jaylen Warren,PIT,RB,137.0,33,161.0,31,185.0,29,8228
Jaylen Wright,MIA,RB,70.0,49,76.0,52,81.0,54,11643
Joe Mixon,HOU,RB,193.0,10,213.0,10,234.0,10,4018
Jonathan Taylor,IND,RB,224.0,4,237.0,6,250.0,7,6813
Jordan Mason,MIN,RB,97.0,38,106.0,41,114.0,43,8408
Josh Jacobs,GB,RB,213.0,9,232.0,9,251.0,12,5850
Kaleb Johnson,PIT,RB,129.0,29,140.0,30,151.0,32,2967
Kyren Williams,LAR,RB,206.0,8,222.0,11,238.0,14,8150
Najee Harris,LAC,RB,109.0,34,120.0,33,132.0,35,7528
Omarion Hampton,LAC,RB,169.0,22,187.0,23,205.0,25,12507
Quinshon Judkins,CLE,RB,145.0,21,160.0,22,175.0,24,12512
RJ Harvey,DEN,RB,148.0,27,167.0,28,186.0,28,12489
Rachaad White,TB,RB,89.0,42,106.0,42,124.0,41,8136
Ray Davis,BUF,RB,77.0,48,83.0,48,90.0,46,11575
Rhamondre Stevenson,NE,RB,119.0,43,133.0,44,147.0,44,7611
Roschon Johnson,CHI,RB,0.0,0,89.0,49,102.0,47,10235
Saquon Barkley,PHI,RB,261.0,1,279.0,1,298.0,2,4866
Tank Bigsby,JAC,RB,104.0,31,111.0,34,117.0,38,9225
Tony Pollard,TEN,RB,155.0,25,174.0,25,193.0,22,5967
Travis Etienne,JAC,RB,118.0,32,139.0,32,160.0,31,7543
TreVeyon Henderson,NE,RB,135.0,26,151.0,26,167.0,27,12529
Trey Benson,ARI,RB,79.0,51,87.0,51,95.0,51,11589
Tyjae Spears,TEN,RB,98.0,39,116.0,38,134.0,36,9508
Tyler Allgeier,ATL,RB,86.0,46,92.0,47,99.0,50,8132
Zach Charbonnet,SEA,RB,92.0,44,110.0,43,128.0,42,9753
