Player,Team,actual_Rank,actual_FG,actual_FGA,actual_PCT,actual_LG,actual_1-19,actual_20-29,actual_30-39,actual_40-49,actual_50+,actual_XPT,actual_XPA,actual_G,actual_FPTS,actual_FPTS/G,actual_ROST,projections_FG,projections_FGA,projections_XPT,projections_FPTS
Brandon Aubrey,DAL,1.0,40.0,47.0,85.1,65.0,0.0,4.0,8.0,14.0,14.0,30.0,30.0,17.0,192.0,11.3,87.9,31.9,35.5,42.8,138.6
Chris Boswell,PIT,2.0,41.0,44.0,93.2,57.0,0.0,9.0,12.0,7.0,13.0,35.0,35.0,17.0,191.0,11.2,55.3,27.5,31.6,32.3,114.8
Cameron Dicker,LAC,3.0,39.0,42.0,92.9,59.0,1.0,9.0,9.0,11.0,9.0,33.0,36.0,17.0,179.0,10.5,82.6,30.0,33.2,41.5,131.5
Ka'imi Fairbairn,HOU,4.0,36.0,42.0,85.7,59.0,0.0,8.0,11.0,4.0,13.0,34.0,36.0,17.0,172.0,10.1,47.2,29.9,33.8,42.1,131.9
Jason Sanders,MIA,5.0,37.0,41.0,90.2,57.0,0.0,7.0,13.0,5.0,12.0,26.0,28.0,17.0,166.0,9.8,42.4,27.2,32.2,44.9,126.4
Chase McLaughlin,TB,6.0,30.0,32.0,93.8,56.0,0.0,11.0,7.0,4.0,8.0,54.0,56.0,17.0,164.0,9.6,49.8,28.2,32.2,38.3,122.8
Jake Bates,DET,7.0,26.0,29.0,89.7,58.0,0.0,3.0,10.0,7.0,6.0,64.0,67.0,17.0,161.0,9.5,82.1,25.6,30.5,44.2,120.9
Wil Lutz,DEN,8.0,31.0,34.0,91.2,55.0,0.0,2.0,13.0,11.0,5.0,46.0,46.0,17.0,160.0,9.4,23.6,27.1,32.3,32.5,113.7
Tyler Bass,BUF,9.0,24.0,29.0,82.8,61.0,0.0,6.0,7.0,7.0,4.0,59.0,64.0,17.0,146.0,8.6,37.5,27.6,33.8,45.8,128.5
Daniel Carlson,LV,10.0,34.0,40.0,85.0,54.0,0.0,10.0,11.0,6.0,7.0,23.0,25.0,17.0,145.0,8.5,17.1,26.9,30.6,32.3,113.0
Justin Tucker,BAL,11.0,22.0,30.0,73.3,56.0,0.0,4.0,7.0,5.0,6.0,60.0,62.0,17.0,143.0,8.4,56.2,31.5,35.5,46.7,141.3
Jake Elliott,PHI,12.0,28.0,36.0,77.8,50.0,0.0,9.0,10.0,8.0,1.0,47.0,48.0,17.0,141.0,8.3,48.2,29.3,32.8,47.6,135.6
Jason Myers,SEA,13.0,26.0,30.0,86.7,59.0,0.0,4.0,6.0,7.0,9.0,37.0,40.0,17.0,140.0,8.2,15.6,31.5,36.6,38.9,133.5
Joshua Karty,LAR,15.0,29.0,34.0,85.3,58.0,0.0,10.0,9.0,4.0,6.0,32.0,36.0,17.0,135.0,7.9,17.1,27.5,33.5,38.1,120.5
Will Reichard,MIN,16.0,24.0,30.0,80.0,58.0,0.0,5.0,6.0,5.0,8.0,38.0,38.0,13.0,131.0,10.1,17.7,25.6,30.6,31.6,108.3
Blake Grupe,NO,17.0,27.0,31.0,87.1,57.0,0.0,4.0,10.0,7.0,6.0,31.0,33.0,17.0,131.0,7.7,6.1,29.8,34.9,40.8,130.2
Cam Little,JAC,18.0,27.0,29.0,93.1,59.0,0.0,8.0,6.0,8.0,5.0,27.0,27.0,17.0,126.0,7.4,9.4,28.2,33.9,36.9,121.5
Joey Slye,TEN,20.0,26.0,33.0,78.8,63.0,0.0,5.0,10.0,5.0,6.0,25.0,26.0,17.0,120.0,7.1,7.7,23.3,28.3,26.8,96.6
Younghoe Koo,ATL,21.0,25.0,34.0,73.5,58.0,0.0,7.0,5.0,7.0,6.0,26.0,26.0,14.0,120.0,8.6,24.4,33.1,37.8,47.8,146.9
Jake Moody,SF,22.0,24.0,34.0,70.6,53.0,0.0,9.0,5.0,6.0,4.0,32.0,33.0,14.0,118.0,8.4,21.5,26.7,31.5,47.8,127.9
Cairo Santos,CHI,24.0,21.0,25.0,84.0,54.0,0.0,4.0,4.0,5.0,8.0,25.0,26.0,17.0,109.0,6.4,34.9,30.0,33.6,38.2,128.0
Harrison Butker,KC,27.0,21.0,25.0,84.0,53.0,1.0,7.0,7.0,4.0,2.0,29.0,31.0,13.0,100.0,7.7,57.4,30.5,34.5,47.4,138.8
Evan McPherson,CIN,29.0,16.0,22.0,72.7,56.0,0.0,6.0,4.0,3.0,3.0,37.0,38.0,12.0,94.0,7.8,27.6,27.8,32.2,45.4,128.7
Dustin Hopkins,CLE,30.0,18.0,27.0,66.7,56.0,0.0,3.0,6.0,5.0,4.0,17.0,20.0,16.0,84.0,5.3,6.4,28.3,32.6,36.8,121.6
Graham Gano,NYG,35.0,9.0,11.0,81.8,53.0,0.0,2.0,1.0,4.0,2.0,15.0,15.0,11.0,50.0,4.5,8.7,25.0,30.0,29.6,104.5
Greg Zuerlein,NYJ,38.0,9.0,15.0,60.0,40.0,0.0,4.0,4.0,1.0,0.0,13.0,14.0,8.0,41.0,5.1,6.6,30.4,34.8,38.3,129.6
