name,team,position,non_ppr,non_ppr_rank,half_ppr,half_ppr_rank,ppr,ppr_rank,sleeper_id
A.J. Brown,PHI,WR,174.0,8,216.0,8,258.0,9,5859
Aaron Jones,MIN,RB,162.0,23,183.0,21,205.0,21,4199
Adam Thielen,CAR,WR,92.0,73,124.0,74,156.0,73,1689
Alec Pierce,IND,WR,72.0,75,88.0,76,104.0,77,8142
Alvin Kamara,NO,RB,177.0,19,210.0,13,243.0,9,4035
Amari Cooper,UNS,WR,84.0,55,108.0,56,131.0,56,2309
Amon-Ra St. Brown,DET,WR,157.0,11,210.0,9,263.0,8,7547
Ashton Jeanty,LVR,RB,206.0,7,229.0,7,253.0,5,12527
Austin Ekeler,WAS,RB,101.0,41,122.0,39,144.0,37,4663
Baker Mayfield,TB,QB,308.0,9,308.0,9,308.0,9,4892
Bhayshul Tuten,JAC,RB,59.0,45,67.0,46,76.0,48,12490
Bijan Robinson,ATL,RB,242.0,3,269.0,2,296.0,1,9509
Bo Nix,DEN,QB,303.0,8,303.0,8,303.0,8,11563
Brandon Aiyuk,SF,WR,96.0,47,121.0,50,145.0,52,6803
Breece Hall,NYJ,RB,188.0,12,210.0,12,233.0,11,8155
Brenton Strange,JAC,TE,69.0,27,94.0,27,120.0,26,9480
Brock Bowers,LVR,TE,141.0,1,191.0,1,242.0,1,11604
Brock Purdy,SF,QB,296.0,16,296.0,17,296.0,17,8183
Bryce Young,CAR,QB,0.0,0,262.0,22,262.0,22,9228
Bucky Irving,TB,RB,208.0,14,232.0,14,256.0,13,11584
C.J. Stroud,HOU,QB,277.0,19,277.0,19,277.0,19,9758
Cade Otton,TB,TE,79.0,23,106.0,23,133.0,22,8111
Caleb Williams,CHI,QB,293.0,11,293.0,11,293.0,11,11560
Calvin Ridley,TEN,WR,128.0,36,162.0,34,196.0,33,4981
Cam Little,JAC,K,59.0,11,59.0,11,59.0,11,11786
Cameron Dicker,LAC,K,69.0,14,69.0,14,69.0,14,8259
Cedric Tillman,CLE,WR,83.0,74,109.0,73,135.0,70,10444
CeeDee Lamb,DAL,WR,177.0,3,232.0,2,287.0,2,6786
Chad Ryland,ARI,K,65.0,12,65.0,12,65.0,12,10955
Chase Brown,CIN,RB,169.0,15,192.0,15,216.0,15,9224
Chase McLaughlin,TB,K,63.0,10,63.0,10,63.0,10,6650
Chris Godwin,TB,WR,117.0,37,156.0,33,194.0,29,4037
Chris Olave,NO,WR,125.0,32,164.0,28,204.0,23,8144
Christian Kirk,HOU,WR,98.0,53,127.0,53,155.0,53,4950
Christian McCaffrey,SF,RB,221.0,5,253.0,3,284.0,3,4034
Christian Watson,GB,WR,71.0,78,0.0,0,0.0,0,8167
Chuba Hubbard,CAR,RB,175.0,17,194.0,19,214.0,19,7594
Cole Kmet,CHI,TE,58.0,29,77.0,29,97.0,29,6826
Colston Loveland,CHI,TE,73.0,16,99.0,17,125.0,18,12517
Cooper Kupp,SEA,WR,104.0,52,140.0,52,176.0,49,4039
Courtland Sutton,DEN,WR,138.0,23,175.0,24,211.0,27,5045
D'Andre Swift,CHI,RB,160.0,30,179.0,27,198.0,26,6790
Dak Prescott,DAL,QB,278.0,12,278.0,12,278.0,12,3294
