Player,Team,actual_Rank,actual_CMP(Passing),actual_ATT(Passing),actual_PCT(Passing),actual_YDS(Passing),actual_Y/A(Passing),actual_TD(Passing),actual_INT,actual_SACKS,actual_ATT(Rushing),actual_YDS(Rushing),actual_TD(Rushing),actual_FL,actual_G,actual_FPTS,actual_FPTS/G,actual_ROST,projections_ATT(Passing),projections_CMP(Passing),projections_YDS(Passing),projections_TD(Passing),projections_INTS,projections_ATT(Rushing),projections_YDS(Rushing),projections_TD(Rushing),projections_FL,projections_FPTS
Lamar Jackson,BAL,1.0,316.0,474.0,66.7,4172,8.8,41.0,4.0,23.0,139.0,915.0,4.0,5.0,17.0,434.4,25.6,98.9,463.7,303.5,3567.9,25.0,10.6,146.0,836.0,5.4,4.4,339.2
Josh Allen,BUF,2.0,307.0,483.0,63.6,3731,7.7,28.0,6.0,14.0,102.0,531.0,12.0,2.0,17.0,385.1,22.7,99.2,564.9,368.1,4062.4,27.7,14.0,108.7,558.7,8.9,4.0,360.5
Joe Burrow,CIN,3.0,460.0,652.0,70.6,4918,7.5,43.0,9.0,48.0,42.0,201.0,2.0,5.0,17.0,381.9,22.5,95.3,580.3,389.0,4239.3,30.1,11.5,56.7,191.2,2.1,3.1,304.4
Baker Mayfield,TB,4.0,407.0,570.0,71.4,4500,7.9,41.0,16.0,40.0,60.0,378.0,3.0,2.0,17.0,381.8,22.5,89.8,562.7,355.5,3947.7,25.8,11.9,51.8,171.1,1.4,3.3,268.2
Jayden Daniels,WAS,5.0,331.0,480.0,69.0,3568,7.4,25.0,9.0,47.0,148.0,891.0,6.0,0.0,17.0,364.7,21.5,96.5,543.6,338.6,3583.0,20.1,13.8,114.6,594.4,5.0,4.4,290.5
Jared Goff,DET,6.0,390.0,539.0,72.4,4629,8.6,37.0,12.0,31.0,35.0,56.0,0.0,0.0,17.0,335.5,19.7,85.7,568.9,384.0,4231.8,28.0,10.6,24.0,54.0,1.1,3.1,276.7
Bo Nix,DEN,7.0,376.0,567.0,66.3,3775,6.7,29.0,12.0,24.0,92.0,430.0,4.0,0.0,17.0,328.1,19.3,77.3,496.6,309.9,3210.5,19.0,12.1,61.4,281.0,2.4,3.6,227.5
Jalen Hurts,PHI,8.0,248.0,361.0,68.7,2903,8.0,18.0,5.0,38.0,150.0,630.0,14.0,5.0,15.0,320.0,21.3,96.6,520.2,339.4,3810.6,24.4,12.1,144.1,619.8,11.2,3.8,359.9
Sam Darnold,SEA,9.0,361.0,545.0,66.2,4319,7.9,35.0,12.0,48.0,67.0,212.0,1.0,4.0,17.0,319.8,18.8,47.6,541.0,343.6,3721.5,21.9,14.4,44.5,173.2,2.1,4.1,244.0
Kyler Murray,ARI,10.0,372.0,541.0,68.8,3851,7.1,21.0,11.0,30.0,78.0,572.0,5.0,4.0,17.0,308.4,18.1,77.2,530.8,353.8,3711.3,22.0,12.1,96.0,530.4,5.1,2.6,303.1
