name,team,position,non_ppr,non_ppr_rank,half_ppr,half_ppr_rank,ppr,ppr_rank,sleeper_id
Brenton Strange,JAC,TE,69.0,27,94.0,27,120.0,26,9480
Brock Bowers,LVR,TE,141.0,1,191.0,1,242.0,1,11604
Cade Otton,TB,TE,79.0,23,106.0,23,133.0,22,8111
Cole Kmet,CHI,TE,58.0,29,77.0,29,97.0,29,6826
Colston Loveland,CHI,TE,73.0,16,99.0,17,125.0,18,12517
Dallas Goedert,PHI,TE,87.0,13,118.0,13,148.0,14,5022
Dalton Kincaid,BUF,TE,89.0,11,120.0,10,151.0,10,10236
Dalton Schultz,HOU,TE,72.0,26,98.0,25,124.0,25,5001
David Njoku,CLE,TE,102.0,8,137.0,9,173.0,8,4033
Elijah Arroyo,SEA,TE,23.0,31,31.0,31,40.0,31,12521
Evan Engram,DEN,TE,81.0,20,117.0,15,152.0,13,4066
George Kittle,SF,TE,141.0,2,178.0,3,215.0,3,4217
Hunter Henry,NE,TE,81.0,21,108.0,24,135.0,24,3214
Isaiah Likely,BAL,TE,82.0,15,104.0,18,125.0,20,8131
Ja'Tavion Sanders,CAR,TE,52.0,33,71.0,33,90.0,32,11600
Jake Ferguson,DAL,TE,90.0,14,125.0,12,159.0,11,8110
Jonnu Smith,MIA,TE,106.0,6,142.0,6,179.0,6,4144
Juwan Johnson,NO,TE,68.0,25,92.0,26,115.0,27,7002
Kyle Pitts,ATL,TE,78.0,18,102.0,20,125.0,23,7553
Mark Andrews,BAL,TE,106.0,5,135.0,7,164.0,9,5012
Mason Taylor,NYJ,TE,55.0,28,76.0,28,97.0,28,12498
Mike Gesicki,CIN,TE,74.0,22,102.0,22,129.0,21,4993
Pat Freiermuth,PIT,TE,83.0,17,112.0,16,142.0,16,7600
Sam LaPorta,DET,TE,120.0,4,155.0,4,190.0,4,10859
T.J. Hockenson,MIN,TE,102.0,9,138.0,8,175.0,7,5844
Terrance Ferguson,LAR,TE,27.0,32,37.0,32,47.0,35,12487
Theo Johnson,NYG,TE,59.0,30,81.0,30,102.0,30,11597
Travis Kelce,KC,TE,110.0,7,151.0,5,193.0,5,1466
Trey McBride,ARI,TE,142.0,3,195.0,2,247.0,2,8130
Tucker Kraft,GB,TE,96.0,10,123.0,11,151.0,12,9484
Tyler Warren,IND,TE,74.0,12,99.0,14,125.0,15,12518
Zach Ertz,WAS,TE,78.0,19,107.0,19,135.0,17,1339
