name,team,position,std,std_rank,half_ppr,half_ppr_rank,ppr,ppr_rank,player_id
A.J. Brown,PHI,WR,174.0,8,216.0,8,258.0,9,5859
Adam Thielen,CAR,WR,92.0,73,124.0,74,156.0,73,1689
Alec Pierce,IND,WR,72.0,75,88.0,76,104.0,77,8142
Amari Cooper,UNS,WR,84.0,55,108.0,56,131.0,56,2309
Amon-Ra St. Brown,DET,WR,157.0,11,210.0,9,263.0,8,7547
Brandon Aiyuk,SF,WR,96.0,47,121.0,50,145.0,52,6803
Calvin Ridley,TEN,WR,128.0,36,162.0,34,196.0,33,4981
Cedric Tillman,CLE,WR,83.0,74,109.0,73,135.0,70,10444
CeeDee Lamb,DAL,WR,177.0,3,232.0,2,287.0,2,6786
Chris Godwin,TB,WR,117.0,37,156.0,33,194.0,29,4037
Chris Olave,NO,WR,125.0,32,164.0,28,204.0,23,8144
Christian Kirk,HOU,WR,98.0,53,127.0,53,155.0,53,4950
Christian Watson,GB,WR,71.0,78,0.0,0,0.0,0,8167
Cooper Kupp,SEA,WR,104.0,52,140.0,52,176.0,49,4039
Courtland Sutton,DEN,WR,138.0,23,175.0,24,211.0,27,5045
Darius Slayton,NYG,WR,70.0,76,89.0,77,108.0,76,6149
Darnell Mooney,ATL,WR,110.0,45,140.0,44,171.0,46,7090
Davante Adams,LAR,WR,159.0,16,201.0,16,243.0,16,2133
DeVonta Smith,PHI,WR,132.0,30,172.0,26,211.0,24,7525
Deebo Samuel,WAS,WR,121.0,33,153.0,35,186.0,36,5872
Diontae Johnson,CLE,WR,73.0,68,97.0,65,122.0,61,5937
Drake London,ATL,WR,164.0,10,210.0,10,256.0,10,8112
Emeka Egbuka,TB,WR,80.0,65,103.0,64,127.0,62,12514
Garrett Wilson,NYJ,WR,128.0,29,171.0,21,213.0,17,8146
George Pickens,DAL,WR,124.0,26,157.0,31,190.0,32,8137
Ja'Marr Chase,CIN,WR,203.0,1,260.0,1,316.0,1,7564
Jack Bech,LVR,WR,86.0,63,114.0,62,141.0,63,12483
Jakobi Meyers,LVR,WR,116.0,40,155.0,37,194.0,35,5947
Jalen Coker,CAR,WR,69.0,70,90.0,69,111.0,72,11646
Jalen McMillan,TB,WR,72.0,69,92.0,72,111.0,75,11618
Jameson Williams,DET,WR,126.0,22,155.0,32,184.0,34,8148
Jauan Jennings,SF,WR,122.0,39,157.0,40,192.0,38,7049
Jaxon Smith-Njigba,SEA,WR,129.0,28,173.0,23,217.0,20,9488
Jayden Higgins,HOU,WR,95.0,54,122.0,55,148.0,55,12484
Jayden Reed,GB,WR,112.0,34,140.0,39,169.0,41,10222
Jaylen Waddle,MIA,WR,117.0,31,154.0,30,191.0,31,7526
Jerry Jeudy,CLE,WR,125.0,41,163.0,42,201.0,42,6783
Jordan Addison,MIN,WR,122.0,35,156.0,36,190.0,39,9756
Josh Downs,IND,WR,98.0,49,130.0,48,162.0,44,9500
Joshua Palmer,BUF,WR,78.0,59,101.0,60,124.0,60,7670
Justin Jefferson,MIN,WR,194.0,2,246.0,3,298.0,4,6794
Keenan Allen,UNS,WR,85.0,61,113.0,54,142.0,54,1479
Keon Coleman,BUF,WR,117.0,44,142.0,47,167.0,51,11637
Khalil Shakir,BUF,WR,111.0,43,150.0,41,188.0,37,8134
Kyle Williams,NE,WR,59.0,67,76.0,67,93.0,68,7437
Ladd McConkey,LAC,WR,157.0,14,201.0,14,245.0,14,11635
Malik Nabers,NYG,WR,167.0,7,218.0,6,270.0,5,11632
Matthew Golden,GB,WR,114.0,57,143.0,58,172.0,59,12501
Michael Wilson,ARI,WR,83.0,71,107.0,71,131.0,74,10232
Mike Evans,TB,WR,147.0,13,185.0,13,224.0,15,2216
Mike Williams,LAC,WR,65.0,77,83.0,78,102.0,79,748
Nico Collins,HOU,WR,184.0,5,229.0,5,274.0,6,7569
Puka Nacua,LAR,WR,174.0,4,226.0,4,278.0,3,9493
Quentin Johnston,LAC,WR,87.0,62,110.0,63,133.0,65,9754
Rashee Rice,KC,WR,135.0,15,177.0,15,220.0,13,10229
Rashid Shaheed,NO,WR,117.0,42,146.0,43,175.0,45,8676
Rashod Bateman,BAL,WR,99.0,56,121.0,61,144.0,66,7571
Ricky Pearsall,SF,WR,108.0,46,138.0,45,167.0,47,11638
Rome Odunze,CHI,WR,114.0,38,146.0,38,178.0,40,11620
Romeo Doubs,GB,WR,86.0,58,111.0,57,135.0,57,8121
Stefon Diggs,NE,WR,94.0,48,129.0,46,163.0,43,2449
Tee Higgins,CIN,WR,167.0,9,212.0,11,256.0,11,6801
Terry McLaurin,WAS,WR,145.0,17,185.0,17,224.0,21,5927
Tetairoa McMillan,CAR,WR,118.0,24,153.0,25,187.0,28,12526
Travis Hunter,JAC,WR,107.0,27,141.0,29,175.0,30,12530
Tre Harris,LAC,WR,84.0,64,108.0,66,133.0,67,12509
Tyreek Hill,MIA,WR,147.0,12,191.0,12,235.0,12,3321
Wan'Dale Robinson,NYG,WR,0.0,0,115.0,75,151.0,64,8126
Xavier Legette,CAR,WR,76.0,66,102.0,68,127.0,69,11626
Xavier Worthy,KC,WR,141.0,19,178.0,18,215.0,18,11624
Zay Flowers,BAL,WR,130.0,25,166.0,27,202.0,26,9997
