"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Christian McCaffrey (SF)","272","1,459","5.4","72","9","14","67","83","564","8.4","7","2","16","324.3","20.3","94.2%"
"2","Raheem Mostert (LV)","209","1,012","4.8","49","7","18","25","32","175","7.0","3","1","15","242.7","16.2","53.1%"
"3","Travis Etienne Jr. (JAC)","267","1,008","3.8","62","6","11","58","73","476","8.2","1","0","17","224.4","13.2","60.7%"
"4","Kyren Williams (LAR)","228","1,144","5.0","56","7","12","32","48","206","6.4","3","2","12","223.0","18.6","98.0%"
"5","Derrick Henry (BAL)","280","1,167","4.2","69","5","12","28","36","214","7.6","0","0","17","218.7","12.9","98.9%"
"6","Joe Mixon (HOU)","257","1,034","4.0","44","3","9","52","64","376","7.2","3","0","17","215.0","12.6","88.2%"
"7","Breece Hall (NYJ)","223","994","4.5","83","7","5","76","95","591","7.8","4","0","17","214.5","12.6","91.0%"
"8","Rachaad White (TB)","272","990","3.6","38","3","6","64","70","549","8.6","3","2","17","203.9","12.0","59.0%"
"9","David Montgomery (DET)","219","1,015","4.6","75","4","13","16","24","117","7.3","0","1","14","191.2","13.7","78.5%"
"10","Jahmyr Gibbs (DET)","182","945","5.2","36","10","10","52","71","316","6.1","1","1","15","190.1","12.7","98.9%"
"11","James Cook (BUF)","237","1,122","4.7","42","6","2","44","54","445","10.1","4","2","17","188.7","11.1","91.8%"
"12","Bijan Robinson (ATL)","214","976","4.6","38","7","4","58","86","487","8.4","4","3","17","188.3","11.1","98.0%"
"13","Saquon Barkley (PHI)","247","962","3.9","36","7","6","41","60","280","6.8","4","2","14","182.2","13.0","99.1%"
"14","Gus Edwards (FA)","198","810","4.1","42","6","13","12","13","180","15.0","0","2","17","175.0","10.3","12.7%"
"15","James Conner (ARI)","208","1,040","5.0","44","11","7","27","33","165","6.1","2","0","13","174.5","13.4","75.2%"
"16","Kenneth Walker III (SEA)","219","905","4.1","45","7","8","29","37","259","8.9","1","0","15","170.4","11.4","79.6%"
"17","Isiah Pacheco (KC)","205","935","4.6","48","6","7","44","49","244","5.5","2","1","14","169.9","12.1","66.5%"
"18","Tony Pollard (TEN)","252","1,005","4.0","31","6","6","55","67","311","5.7","0","1","17","167.6","9.9","63.7%"
"19","Jerome Ford (CLE)","204","813","4.0","69","5","4","44","63","319","7.3","5","1","17","167.2","9.8","80.7%"
"20","Najee Harris (LAC)","255","1,035","4.1","25","8","8","29","38","170","5.9","0","1","17","166.5","9.8","69.5%"
"21","De'Von Achane (MIA)","103","800","7.8","76","8","8","27","37","197","7.3","3","1","11","163.7","14.9","97.7%"
"22","Brian Robinson Jr. (WAS)","178","733","4.1","29","4","5","36","43","368","10.2","4","2","15","162.1","10.8","61.2%"
"23","D'Andre Swift (CHI)","229","1,049","4.6","43","6","5","39","49","214","5.5","1","1","16","160.3","10.0","62.0%"
"24","Alvin Kamara (NO)","180","694","3.9","17","0","5","75","86","466","6.2","1","0","13","158.0","12.2","79.3%"
"25","Josh Jacobs (GB)","233","805","3.5","63","3","6","37","54","296","8.0","0","1","13","144.1","11.1","98.4%"
"26","Chuba Hubbard (CAR)","238","902","3.8","22","4","5","39","44","233","6.0","0","0","17","143.5","8.4","85.8%"
"27","Zack Moss (CIN)","183","794","4.3","56","6","5","27","37","192","7.1","2","0","14","142.6","10.2","33.1%"
"28","Jonathan Taylor (IND)","169","741","4.4","49","4","7","19","23","153","8.1","1","0","10","137.4","13.7","97.1%"
"29","Devin Singletary (NYG)","216","898","4.2","24","3","4","30","38","193","6.4","0","0","17","137.3","8.1","32.6%"
"30","Jaylen Warren (PIT)","149","784","5.3","74","6","4","61","74","370","6.1","0","2","17","135.4","8.0","63.0%"
"31","Austin Ekeler (WAS)","179","628","3.5","55","3","5","51","74","436","8.5","1","4","14","134.4","9.6","82.1%"
"32","Javonte Williams (DAL)","217","774","3.6","21","2","3","47","58","228","4.9","2","1","16","132.2","8.3","85.2%"
"33","Ezekiel Elliott (FA)","184","642","3.5","17","0","3","51","65","313","6.1","2","1","17","123.5","7.3","15.2%"
"34","Tyler Allgeier (ATL)","186","683","3.7","31","2","4","18","23","193","10.7","1","0","17","119.6","7.0","67.3%"
"35","Rhamondre Stevenson (NE)","156","619","4.0","64","1","4","38","51","238","6.3","0","1","12","107.7","9.0","63.8%"
"36","Aaron Jones Sr. (MIN)","142","656","4.6","39","3","2","30","43","233","7.8","1","1","11","104.9","9.5","71.5%"
"37","Kareem Hunt (KC)","135","411","3.0","16","0","9","15","21","84","5.6","0","0","15","103.5","6.9","48.0%"
"38","Alexander Mattison (MIA)","180","700","3.9","21","1","0","30","44","192","6.4","3","2","16","103.2","6.5","13.7%"
"39","Tyjae Spears (TEN)","100","453","4.5","23","3","2","52","70","385","7.4","1","0","17","101.8","6.0","54.1%"
"40","A.J. Dillon (PHI)","178","613","3.4","40","1","2","22","28","223","10.1","0","0","15","95.6","6.4","10.4%"
"41","Khalil Herbert (IND)","132","611","4.6","38","5","2","20","31","134","6.7","1","1","12","92.5","7.7","19.4%"
"42","Justice Hill (BAL)","84","387","4.6","41","2","3","28","39","206","7.4","1","1","16","81.3","5.1","33.8%"
"43","D'Onta Foreman (FA)","109","425","3.9","22","1","4","11","16","77","7.0","1","0","9","80.2","8.9","3.1%"
"44","Ty Chandler (MIN)","102","461","4.5","31","3","3","21","25","159","7.6","0","0","16","80.0","5.0","13.1%"
"45","Antonio Gibson (NE)","65","265","4.1","16","0","1","48","59","389","8.1","2","2","16","79.4","5.0","22.7%"
"46","Jaleel McLaughlin (DEN)","76","410","5.4","38","4","1","31","36","160","5.2","2","0","17","75.0","4.4","43.6%"
"47","Rico Dowdle (CAR)","89","361","4.1","21","2","2","17","22","144","8.5","2","0","16","74.5","4.7","32.1%"
"48","Zach Charbonnet (SEA)","108","462","4.3","23","4","1","33","40","209","6.3","0","0","16","73.1","4.6","57.2%"
