"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Denver Broncos (DEN)","63","15","9","12","5","2","0","17","147.0","8.6","83.1%"
"2","Minnesota Vikings (MIN)","49","24","9","10","3","0","0","17","125.0","7.4","74.3%"
"3","Chicago Bears (CHI)","40","11","13","14","1","0","2","17","121.0","7.1","24.5%"
"4","Houston Texans (HOU)","49","19","9","10","3","1","0","17","117.0","6.9","43.7%"
"5","Seattle Seahawks (SEA)","45","13","5","14","4","1","1","17","113.0","6.6","27.0%"
"6","Pittsburgh Steelers (PIT)","40","17","16","18","1","0","1","17","112.0","6.6","78.5%"
"7","Philadelphia Eagles (PHI)","41","13","13","18","1","0","0","17","108.0","6.4","87.5%"
"8","Baltimore Ravens (BAL)","54","12","5","12","2","0","0","17","104.0","6.1","77.2%"
"9","Buffalo Bills (BUF)","39","16","16","17","3","1","0","17","98.0","5.8","43.0%"
"10","Detroit Lions (DET)","37","16","8","11","1","0","1","17","98.0","5.8","47.8%"
"11","Green Bay Packers (GB)","45","17","14","15","1","0","0","17","98.0","5.8","39.2%"
"12","Los Angeles Chargers (LAC)","46","15","6","8","1","0","0","17","96.0","5.6","46.9%"
"13","Los Angeles Rams (LAR)","38","13","7","10","3","1","1","17","94.0","5.5","20.0%"
"14","Kansas City Chiefs (KC)","39","13","7","12","1","0","0","17","91.0","5.4","69.5%"
"15","New Orleans Saints (NO)","39","14","3","12","0","1","1","17","84.0","4.9","33.8%"
"16","Tampa Bay Buccaneers (TB)","46","7","11","15","1","1","1","17","84.0","4.9","47.6%"
"17","Miami Dolphins (MIA)","35","10","6","7","0","0","0","17","73.0","4.3","43.4%"
"18","Arizona Cardinals (ARI)","41","9","8","16","0","2","1","17","71.0","4.2","21.4%"
"19","Dallas Cowboys (DAL)","52","13","9","16","1","0","3","17","70.0","4.1","31.2%"
"20","San Francisco 49ers (SF)","37","11","6","11","1","0","1","17","67.0","3.9","43.6%"
"21","New England Patriots (NE)","28","7","5","9","1","0","0","17","65.0","3.8","18.7%"
"22","New York Giants (NYG)","45","5","10","15","0","0","2","17","62.0","3.6","11.8%"
"23","Cleveland Browns (CLE)","41","4","8","11","1","1","1","17","61.0","3.6","27.8%"
"24","Las Vegas Raiders (LV)","38","10","3","6","1","0","0","17","60.0","3.5","20.2%"
"25","Washington Commanders (WAS)","43","7","10","12","1","0","0","17","60.0","3.5","37.0%"
"26","Jacksonville Jaguars (JAC)","34","6","3","5","1","0","1","17","57.0","3.4","19.2%"
"27","Atlanta Falcons (ATL)","31","12","6","12","4","1","0","17","55.0","3.2","21.4%"
"28","New York Jets (NYJ)","43","7","10","14","0","0","1","17","55.0","3.2","44.0%"
"29","Indianapolis Colts (IND)","36","16","9","17","1","0","0","17","47.0","2.8","36.9%"
"30","Tennessee Titans (TEN)","32","11","6","10","0","2","0","17","46.0","2.7","31.5%"
"31","Cincinnati Bengals (CIN)","36","15","10","12","2","1","1","17","44.0","2.6","32.6%"
"32","Carolina Panthers (CAR)","32","9","8","8","0","0","0","17","17.0","1.0","12.6%"
""
""
