Player,Team,actual_Rank,actual_REC(Recieving),actual_TGT(Recieving),actual_YDS(Recieving),actual_Y/R(Recieving),actual_LG(Recieving),actual_20+(Recieving),actual_TD(Recieving),actual_ATT(Rushing),actual_YDS(Rushing),actual_TD(Rushing),actual_FL,actual_G,actual_FPTS,actual_FPTS/G,actual_ROST,projections_REC(Recieving),projections_YDS(Recieving),projections_TD(Recieving),projections_FL,projections_FPTS,ADP
George Kittle,SF,1.0,78.0,94.0,1106,14.2,43.0,21.0,8.0,0.0,0.0,0.0,0.0,15.0,158.6,10.6,95.3,65.2,881.3,6.0,0.4,123.3,64.5
Brock Bowers,LV,2.0,112.0,153.0,1194,10.7,57.0,15.0,5.0,5.0,13.0,0.0,0.0,17.0,150.7,8.9,98.3,62.9,696.1,4.6,1.1,95.1,91.5
Trey McBride,ARI,3.0,111.0,147.0,1146,10.3,37.0,10.0,2.0,1.0,2.0,1.0,0.0,16.0,138.8,8.7,95.3,86.1,879.9,5.1,0.5,117.3,48.5
Jonnu Smith,MIA,4.0,88.0,111.0,884,10.0,57.0,4.0,8.0,2.0,-1.0,0.0,1.0,17.0,134.3,7.9,83.8,37.8,417.1,2.9,0.4,58.1,222.5
Mark Andrews,BAL,5.0,55.0,69.0,673,12.2,67.0,6.0,11.0,4.0,5.0,0.0,0.0,17.0,133.8,7.9,90.4,71.9,869.7,7.9,0.5,133.3,49.5
Sam LaPorta,DET,6.0,60.0,83.0,726,12.1,52.0,11.0,7.0,0.0,0.0,0.0,0.0,16.0,114.6,7.2,94.0,86.3,891.3,7.7,0.4,134.6,31.0
Tucker Kraft,GB,7.0,50.0,70.0,707,14.1,67.0,11.0,7.0,3.0,6.0,0.0,1.0,17.0,113.3,6.7,64.8,32.7,341.3,2.5,0.1,48.9,279.0
Zach Ertz,WAS,8.0,66.0,91.0,654,9.9,37.0,7.0,7.0,0.0,0.0,0.0,0.0,17.0,111.4,6.6,37.4,38.4,353.7,2.7,0.1,51.5,258.0
Pat Freiermuth,PIT,9.0,65.0,78.0,653,10.0,30.0,7.0,7.0,0.0,0.0,0.0,2.0,17.0,103.3,6.1,36.9,54.8,572.4,4.1,0.5,81.2,129.0
Travis Kelce,KC,10.0,97.0,133.0,823,8.5,38.0,9.0,3.0,1.0,1.0,0.0,1.0,16.0,98.4,6.2,82.6,88.9,959.8,7.5,0.8,140.3,30.5
David Njoku,CLE,11.0,64.0,97.0,505,7.9,29.0,4.0,5.0,0.0,0.0,0.0,0.0,11.0,84.5,7.7,79.2,69.8,772.3,5.5,1.2,107.6,90.5
Kyle Pitts,ATL,12.0,47.0,74.0,602,12.8,52.0,7.0,4.0,0.0,0.0,0.0,0.0,17.0,84.2,5.0,46.8,67.9,871.1,5.2,0.4,117.3,65.0
Isaiah Likely,BAL,13.0,42.0,58.0,477,11.4,49.0,4.0,6.0,0.0,0.0,0.0,1.0,16.0,81.7,5.1,33.6,35.2,423.2,4.1,0.1,66.8,186.5
