Player,Team,actual_Rank,actual_REC(Recieving),actual_TGT(Recieving),actual_YDS(Recieving),actual_Y/R(Recieving),actual_LG(Recieving),actual_20+(Recieving),actual_TD(Recieving),actual_ATT(Rushing),actual_YDS(Rushing),actual_TD(Rushing),actual_FL,actual_G,actual_FPTS,actual_FPTS/G,actual_ROST,projections_REC(Recieving),projections_YDS(Recieving),projections_TD(Recieving),projections_ATT(Rushing),projections_YDS(Rushing),projections_TD(Rushing),projections_FL,projections_FPTS,ADP
Ja'Marr Chase,CIN,1.0,127.0,175.0,1708,13.4,70.0,19.0,17.0,3.0,32.0,0.0,0.0,17.0,276.0,16.2,98.7,106.5,1354.7,8.9,3.0,12.6,0.1,0.7,189.1,6.5
Justin Jefferson,MIN,2.0,103.0,154.0,1533,14.9,97.0,28.0,10.0,1.0,3.0,0.0,0.0,17.0,214.5,12.6,99.2,105.5,1447.5,7.4,1.2,3.8,0.0,1.0,187.9,5.5
Amon-Ra St. Brown,DET,3.0,115.0,141.0,1263,11.0,66.0,14.0,12.0,2.0,6.0,0.0,1.0,17.0,201.2,11.8,98.9,111.0,1351.1,8.2,4.5,31.3,0.1,0.9,186.1,6.5
Brian Thomas Jr.,JAC,4.0,87.0,133.0,1282,14.7,85.0,18.0,10.0,6.0,48.0,0.0,0.0,17.0,197.0,11.6,97.7,63.2,845.2,5.0,0.7,6.0,0.0,1.1,113.0,109.0
Terry McLaurin,WAS,5.0,82.0,117.0,1096,13.4,86.0,12.0,13.0,2.0,2.0,0.0,1.0,17.0,185.8,10.9,95.3,76.4,1009.9,4.6,0.3,2.2,0.0,0.5,127.9,64.5
Drake London,ATL,6.0,100.0,158.0,1271,12.7,39.0,12.0,9.0,1.0,-3.0,0.0,0.0,17.0,180.8,10.6,97.1,87.9,1139.9,7.0,0.0,2.2,0.0,0.9,154.6,21.0
Mike Evans,TB,7.0,74.0,110.0,1004,13.6,57.0,15.0,11.0,0.0,0.0,0.0,0.0,14.0,166.4,11.9,95.7,75.6,1121.4,8.4,0.0,1.2,0.0,0.5,161.7,37.5
Malik Nabers,NYG,8.0,109.0,170.0,1204,11.0,59.0,16.0,7.0,5.0,2.0,0.0,0.0,15.0,164.6,11.0,96.0,81.2,1076.7,5.9,0.5,5.0,0.0,1.2,141.0,44.5
CeeDee Lamb,DAL,9.0,101.0,152.0,1194,11.8,65.0,16.0,6.0,14.0,70.0,0.0,1.0,15.0,162.4,10.8,97.8,116.0,1488.4,9.7,9.8,68.4,0.8,1.1,216.3,2.5
Courtland Sutton,DEN,10.0,81.0,135.0,1081,13.3,47.0,17.0,8.0,0.0,0.0,0.0,1.0,17.0,159.3,9.4,74.7,65.8,850.1,6.1,0.0,1.2,0.0,1.3,119.1,109.0
