name,team,position,std,std_rank,half_ppr,half_ppr_rank,ppr,ppr_rank,player_id,BYE
Cam Little,JAC,K,59.0,11,59.0,11,59.0,11,11786,8
Cameron Dicker,LAC,K,69.0,14,69.0,14,69.0,14,8259,12
Chad Ryland,ARI,K,65.0,12,65.0,12,65.0,12,10955,8
Chase McLaughlin,TB,K,63.0,10,63.0,10,63.0,10,6650,9
Dustin Hopkins,CLE,K,53.0,16,0.0,0,0.0,0,1348,9
Evan McPherson,CIN,K,66.0,4,66.0,4,66.0,4,7839,10
Harrison Butker,KC,K,74.0,8,74.0,8,74.0,8,4227,10
Jake Bates,DET,K,81.0,2,81.0,2,81.0,2,11539,8
Jake Elliott,PHI,K,65.0,9,65.0,9,65.0,9,4195,9
Jake Moody,SF,K,59.0,15,59.0,15,59.0,15,10937,14
Jason Sanders,MIA,K,59.0,13,59.0,13,59.0,13,5119,12
Joshua Karty,LAR,K,58.0,17,0.0,0,0.0,0,11789,8
Justin Tucker,BAL,K,63.0,3,63.0,3,63.0,3,1264,7
Matt Gay,WAS,K,66.0,6,66.0,6,66.0,6,6083,12
Tyler Bass,BUF,K,67.0,5,67.0,5,67.0,5,7042,7
Tyler Loop,BAL,K,83.0,7,83.0,7,83.0,7,12711,7
Younghoe Koo,ATL,K,76.0,1,76.0,1,76.0,1,4666,5
