name,team,position,rank,ppr,BYE
Ja'Marr Chase,CIN,WR1,1,316,10.0
Bijan Robinson,ATL,RB1,2,296,5.0
Saquon Barkley,PHI,RB2,3,298,9.0
Derrick Henry,BAL,RB8,4,269,7.0
CeeDee Lamb,DAL,WR2,5,287,10.0
Puka Nacua,LAR,WR3,6,278,8.0
Justin Jefferson,MIN,WR4,7,298,6.0
Christian McCaffrey,SF,RB3,8,284,14.0
Nico Collins,HOU,WR6,9,274,6.0
Jahmyr Gibbs,DET,RB4,10,287,8.0
Brian Thomas Jr.,JAC,WR7,11,258,8.0
Ashton Jeanty,LVR,RB5,12,253,8.0
Jonathan Taylor,IND,RB7,13,250,11.0
Malik Nabers,NYG,WR5,14,270,14.0
De'Von Achane,MIA,RB6,15,267,12.0
A.J. Brown,PHI,WR9,16,258,9.0
Drake London,ATL,WR10,17,256,5.0
Tee Higgins,CIN,WR11,18,256,10.0
Joe Mixon,HOU,RB10,19,234,6.0
Josh Jacobs,GB,RB12,20,251,5.0
Kyren Williams,LAR,RB14,21,238,8.0
Amon-Ra St. Brown,DET,WR8,22,263,8.0
Tyreek Hill,MIA,WR12,23,235,12.0
Breece Hall,NYJ,RB11,24,233,9.0
Brock Bowers,LVR,TE1,25,242,8.0
Bucky Irving,TB,RB13,26,256,9.0
Lamar Jackson,BAL,QB1,27,361,7.0
Jayden Daniels,WAS,QB2,28,362,12.0
Chase Brown,CIN,RB15,29,216,10.0
Josh Allen,BUF,QB3,30,356,7.0
Mike Evans,TB,WR15,31,224,9.0
Jalen Hurts,PHI,QB4,32,361,9.0
James Cook,BUF,RB16,33,231,7.0
Alvin Kamara,NO,RB9,34,243,11.0
Rashee Rice,KC,WR13,35,220,10.0
Trey McBride,ARI,TE2,36,247,8.0
Ladd McConkey,LAC,WR14,37,245,12.0
Kenneth Walker III,SEA,RB17,38,221,8.0
Davante Adams,LAR,WR16,39,243,8.0
James Conner,ARI,RB18,40,225,8.0
Chuba Hubbard,CAR,RB19,41,214,14.0
Xavier Worthy,KC,WR18,42,215,10.0
George Kittle,SF,TE3,43,215,14.0
D.J. Moore,CHI,WR19,44,222,5.0
Terry McLaurin,WAS,WR21,45,224,12.0
Marvin Harrison Jr.,ARI,WR22,46,216,8.0
D.K. Metcalf,PIT,WR25,47,204,5.0
Garrett Wilson,NYJ,WR17,48,213,9.0
Jaxon Smith-Njigba,SEA,WR20,49,217,8.0
Chris Olave,NO,WR23,50,204,11.0
DeVonta Smith,PHI,WR24,51,211,9.0
Zay Flowers,BAL,WR26,52,202,7.0
Courtland Sutton,DEN,WR27,53,211,12.0
Tetairoa McMillan,CAR,WR28,54,187,14.0
Joe Burrow,CIN,QB5,55,345,10.0
Travis Hunter,JAC,WR30,56,175,8.0
Jaylen Waddle,MIA,WR31,57,191,12.0
